C,mse_train,mae_train,rmse_train,r2_train,mse_test,mae_test,rmse_test,r2_test
0.0001,149.9874246219372,10.513869587666353,12.236621039871853,0.2510054786080293,149.3955117394582,10.494864972578863,12.2122426736604,0.23148881987972214
0.0005,75.18956932039109,6.7074006764456,8.653414670607523,0.6245323818267676,74.6203087023584,6.680517477092056,8.621743049614762,0.6160721419212642
0.001,71.30342928994237,6.427890296122135,8.426721458057497,0.6439373512595485,70.74178375667404,6.399890631863703,8.394846232940647,0.6360469216202638
0.01,69.2019098725288,6.247665954635456,8.302495867863477,0.6544305335278394,68.65160082795241,6.219862261415911,8.270949339354843,0.6468267126008099
0.1,69.1395174318918,6.2372611663794055,8.298692334081116,0.6547414606427137,68.58666472103135,6.209525555818303,8.266982776382148,0.6471643823972979
1.0,69.1267114505427,6.235843843343425,8.297939124287225,0.654805386640548,68.57392908912364,6.208118892780276,8.266230607066648,0.6472303023112654
10.0,69.07115000931536,6.233144463614662,8.294767722886052,0.6550832573159843,68.52344896196006,6.205555155402616,8.263351383139081,0.6474895392063736
100.0,69.12772418681492,6.235941354600224,8.297996903409004,0.654800345059115,68.57500100199711,6.2082179593116775,8.266293755319872,0.6472246563343521
1000.0,69.12575806047339,6.235721444242502,8.297881963111717,0.6548101441450643,68.57298482999286,6.207997911227148,8.266174422901654,0.6472351766620713
100000.0,69.12575881044322,6.235714636276783,8.297881519155526,0.6548101387959945,68.57306704351619,6.207992716355155,8.266178988246404,0.6472347637577549
